Translate,en,kr,vi
MENU.MANAGE_ORDERS,Manage orders,주문 관리,Quản lý đơn hàng
MENU.MANAGE_PAYMENTS,Manage payments,결제 관리,Quản lý thanh toán
MENU.MY_JOBS,My Jobs,내 작업,Đơn hàng của tôi
MENU.TERM_CONDITIONS,Terms & Conditions,약관,Điều khoản sử dụng
MENU.REPORTS,Reports,리포트,Báo cáo
MENU.MANAGE_NEWORDER,New order,새로운 주문,Đơn hàng mới
MENU.TRUCKOWNER_MANAGE_ORDERS,Manage orders,주문 관리,Đơn hàng đã nhận
MENU.QUOTATION,View price quotation,View price quotation,Xem báo giá
TOPMENU.FAQ,FAQ,FAQ,Câu hỏi thường gặp
TOPMENU.NOTIFICATION,Notification,알림,Thông báo
TOPMENU.WELCOME,Welcome,환영합니다,Chào
STATUS.UNVERIFIED,Not verified,미인증,Chưa xác thực
STATUS.VERIFIED,Verified,인증 완료,Xác thực
STATUS.PENDING,Pending,대기,Đang chờ xác thực
USER_STATUS.ACTIVE,Active,활성화 상태,Đang hoạt động
USER_STATUS.INACTIVE,Inactive,비활성화 상태,Ngưng hoạt động
PAGING.FIRST,First,처음,Về đầu
PAGING.LAST,Last,마지막,Cuối
PAGING.NEXT,Next,다음,kế tiếp
PAGING.PREV,Previous,이전,trước
PAGING.AMOUNT,record(s) found,검색된 목록,mẩu được tìm thấy
PAGING.PER_PAGE,per page,페이지,trên trang
CUSTOMER.ACCOUNT_SETUP,Account setup,계정 설정,Thiết lập tài khoản
CUSTOMER.ACCOUNT_INFO,Account information,계정 정보,Thông tin tài khoản
CUSTOMER.NEW_TYPE_LABEL,Customer Type,고객 유형,Loại khách hàng
CUSTOMER.TYPE_LABEL,Account type,계정 유형,Loại tài khoản
CUSTOMER.TYPE_COMPANY,Company,회사,Công ty
CUSTOMER.TYPE_INDIVIDUAL,Individual,개인,Cá nhân
CUSTOMER.TYPE_CORPORATE,Corporate,회사,Công ty
CUSTOMER.TYPE_LOGISTIC_FORWARDER,Logistic/Forwarder,Logistic/Forwarder,Logistic/Forwarder
CUSTOMER.STATUS,Status,상태,Trạng thái
CUSTOMER.STATUS_LABEL,Account Status,계정 상태,Trạng thái
CUSTOMER.EMAIL_STATUS_LABEL,Email verify Status,이메일 인증 상태,Trạng thái email
CUSTOMER.STATUS_LABELNOTE,Please upload ID Card and/or Company Business License No to have account verified,계정 인증을 위해 신분증을 업로드 하시고 기업등록증 번호를 입력해 주세요.,Hãy tải lên bản chụp CMND hoặc giấy phép KD công ty để xác thực tài khoản
CUSTOMER.ADMIN_NAME,Owner's Name,관리자명,Tên chủ tài khoản
CUSTOMER.ADMIN_EMAIL,Owner's Email,관리자 이메일,Email chủ tài khoản
CUSTOMER.ADMIN_CONTACTNO,Owner's Contact NO,관리자 연락처,ĐT chủ tài khoản
CUSTOMER.ADMIN_CARDNO,Owner's ID Card NO,관리자 신분증 번호,CMND
CUSTOMER.ADMIN_CARDFRONT,Upload Owner's ID Card (front),관리자 신분증 앞면 업로드,Tải CMND (mặt trước)
CUSTOMER.ADMIN_CARDBACK,Upload Owner's ID Card (back),관리자 신분증 뒷면 업로드,Tải CMND (mặt sau)
CUSTOMER.ADMIN_PROFILE_IMG,Upload Owner's Profile image,관리자 프로필 이미지 업로드,Tải ảnh đại diện
CUSTOMER.EMPLOYEE_TITLE,Employee Accounts,직원 계정,Tài khoản nhân viên
CUSTOMER.NAME,Name,이름,Tên
CUSTOMER.YOUR_EMAIL,Your Email,이메일,Email
CUSTOMER.EMAIL,Owner Email,이메일,Email
CUSTOMER.PHONE,Phone,전화번호,Điện thoại
CUSTOMER.FAVOURITE_TRUCK,Favourite truck operators,좋아하는 트럭 사업자,Công ty vận tải yêu thích
CUSTOMER.FAVOURITE_TRUCKINFO,"Add your own favourite truck operators if you have good experiences and want them to deliver your goods. Once set up, your orders will be dispatched <b>ONLY</b> to these favourite truck operators. If you want to dispatch order to all available truck operators, just click Reset button to remove all the favourite truck operators.","지난 주문에서 마음에 드는 트럭 사업자가 있었다면 ""좋아하는 트럭 사업자""에 추가하십시오. 추가가 완료된 후 주문 생성시 ""좋아하는 트럭 사업자""에게만 알림이 가도록 설정할 수 있습니다. 사용 가능한 모든 트럭 사업자에게 주문을 발송하려면 변경 버튼을 클릭하여 ""좋아하는 트럭 사업자""에 클릭 버튼을 없애주시면 됩니다.","Thêm các công ty vận tải yêu thích vào danh sách nếu bạn đã có kinh nghiệm tốt khi làm việc cùng họ. Chú ý là các đơn hàng của bạn sẽ CHỈ được gửi đến cho các công ty trong danh sách mà thôi. Nếu bạn muốn đơn hàng được gửi đến tất cả các công ty trong hệ thống, hãy nhấn nút Huỷ thiết lập để xóa tất cả danh sách công ty yêu thích."
CUSTOMER.PLACEHOLDER_FAVOURITE,Enter Truck owner's Partner ID,트럭 사업자의 파트너 ID를 입력해 주세요.,Nhập Mã đối tác của công ty vận tải
CUSTOMER.FAVOURITE_PARTNERNOTE,You can find Truck owner's Partner ID in Manage Order - View Truck Operator. Or simple call TADA to get the Partner ID for any trucj operator that you wish to add.,주문 관리 - 트럭 사업자 보기 에서 트럭 사업자의 파트너 ID를 찾을 수 있습니다. 또는 TADA에 전화하시면 추가를 원하는 트럭 사업자의 파트너 ID를 알 수 있습니다.,Bạn có thể tìm thấy Mã đối tác của công ty vận tải trong Quản lý đơn hàng - Xem chủ xe. Hoặc đơn giản gọi cho TADA để lấy Mã đối tác cho bất kì công ty vận tải nào mà bạn muốn thêm.
CUSTOMER.FAVOURITE_NOTE,You can find Truck owner's Partner ID in Manage Order - View Truck Operator. Or simple call TADA to get the Partner ID for any truck operator that you wish to add.,주문 관리 - 트럭 사업자 보기 에서 트럭 사업자의 파트너 ID를 찾을 수 있습니다. 또는 TADA에 전화하시면 추가를 원하는 트럭 사업자의 파트너 ID를 알 수 있습니다.,Bạn có thể tìm thấy Mã đối tác của công ty vận tải trong Quản lý đơn hàng - Xem chủ xe. Hoặc đơn giản gọi cho TADA để lấy Mã đối tác cho bất kì công ty vận tải nào mà bạn muốn thêm.
CUSTOMER.OWNER,Owner,소유자,Chủ tài khoản
CUSTOMER.ROLE_LABEL,Account type,계정 유형,Phân quyền
CUSTOMER.ROLE_OWNER,Owner,소유자,Chủ tài khoản
CUSTOMER.ROLE_ADMIN,Manager,관리자,Tài khoản Quản lý
CUSTOMER.ROLE_EXECUTIVE,Staff,실무자,Tài khoản Nhân viên
CUSTOMER.TRUCKOWNER_NAME,Name,이름,Công ty
CUSTOMER.FAVOURITE_NEW,Add new favourite truck company,선호하는 트럭 회사 추가,Thêm công ty yêu thích
CUSTOMER.NEW_TITLE,New Customer,새로운 고객,Tạo mới tài khoản
CUSTOMER.EDIT_TITLE,Edit Customer,고객 변경,Chỉnh sửa tài khoản
CUSTOMER.MANAGE_TITLE,Manage Customers,고객 관리,Quản lý tài khoản
CUSTOMER.FORGOT_MESSAGE,Please input your email address (that you register with TADA Truck) to reset your password,비밀번호를 변경하기 위해 기존에 등록하신 이메일 주소를 입력해 주세요.,Vui lòng nhập email mà bạn đã đăng ký với TADA Truck để thiết lập lại mật khẩu của bạn
CUSTOMER.PARTNER_ID,Partner Id,파트너 ID,Mã đối tác
CUSTOMER.EMPLOYEE_ADD_TITLE,Add New Employee,직원 추가,Thêm mới nhân viên
CUSTOMER.EMPLOYEE_EDIT_TITLE,Edit Employee,직원 변경,Chỉnh sửa thông tin nhân viên
CUSTOMER.MANAGE_RESTORE_TITLE,Manage Deleted Customers,삭제된 고객 관리,Quản lý tài khoản khách hàng đã xóa
CUSTOMER.TRUCK_OPERATOR,Truck operator,트럭 관리자,Tài xế
COMPANY.LABEL,Company Info,회사 정보,Thông tin về  công ty
COMPANY.SUBTAB_TITLE,Company Information,회사 정보,Thông tin về  công ty
COMPANY.NAME,Company Name,회사명,Tên công ty
COMPANY.PHONE,Company Contact NO,회사 연락처,ĐT công ty
COMPANY.ADDRESS,Company Address,회사 주소,Địa chỉ
COMPANY.BUSINESS_LICENSENO,Business License No,기업등록증 번호,Mã số doanh nghiệp
COMPANY.ICON,Upload Company Icon,회사 로고 업로드,Tải logo công ty
COMPANY.BUSINESS_LICENSE,Upload Business License,기업등록증 업로드,Tải giấy phép KD
COMPANY.CONTACT_PERSON,Contact Person,담당자,Người liên lạc
COMPANY.CONTACT_EMAIL,Contact Email,이메일,Email liên lạc
COMPANY.CONTACT_PHONE,Contact NO,연락처,ĐT liên lạc
COMPANY.NEW_TITLE,New Company,새로운 회사,Thêm mới công ty
COMPANY.EDIT_TITLE,Edit Company,회사 변경,Chỉnh sửa công ty
COMPANY.COL_NAME,Company Name,회사명,Khách hàng
BUTTONS.LOGIN,Login,로그인,Đăng nhập
BUTTONS.SIGNUP,Sign up,회원 가입,Đăng ký
BUTTONS.CREATE,Create,생성,Tạo mới
BUTTONS.UPDATE,Update,업데이트,Cập nhật
BUTTONS.DELETE,Delete,삭제,Xóa
BUTTONS.TRUCKOWNER_DELETE,Delete order's truck owner,트럭 관리자 오더 삭제,Xóa chủ xe của đơn hàng
BUTTONS.BACK,Back to login,로그인으로 되돌아가기,Quay lại trang đăng nhập
BUTTONS.BACK_STEP,Back,이전,Quay lại
BUTTONS.NEXT_STEP,Next,다음,Tiếp tục
BUTTONS.EDIT,Edit,변경,Sửa
BUTTONS.CANCEL,Cancel,취소,Huỷ
BUTTONS.ORDER_CANCEL,Cancel,취소,Hủy đơn
BUTTONS.CUSTOMER_CANCEL,Cancel as Customer,고객이 취소,Khách hàng hủy đơn
BUTTONS.TRUCKOWNER_CANCEL,Cancel as Truckowner,트럭 사업자가 취소,Chủ xe hủy đơn
BUTTONS.OK,Ok,OK,Đồng ý
BUTTONS.TRACKING,Tracking,배송 추적,Xem lộ trình
BUTTONS.ADD_MORE,Add more,추가,Thêm mới
BUTTONS.RESET,Reset,변경,Hủy thiết lập
BUTTONS.CLOSE,Close,닫기,Đóng
BUTTONS.ASSIGN,Assign,배정,Chỉ định
BUTTONS.ADD,Add,추가,Thêm
BUTTONS.ADD_NEW,Add New,추가,Thêm mới
BUTTONS.SAVE,Save,저장,Lưu
BUTTONS.SAVE_EDIT,Save and Edit,저장 및 변경,Lưu và tiếp tục sửa
BUTTONS.ACCOUNT_RESET,Reset your password,비밀번호 변경,Thiết lập lại
BUTTONS.VIEW_TRUCK,View truck owner,트럭 사업자 보기,Xem chủ xe
BUTTONS.ASSIGNED_TRUCK,Assigned truck operator info,배정된 트럭 사업자 정보,Thông tin chủ xe
BUTTONS.ASSIGN_AS_TRUCKOWNER,Assign as truck owner,트럭 관리자로 등록,Đăng ký dưới quyền chủ xe
BUTTONS.ASSIGN_JOB,Assign & Start the job,배정 & 작업 시작,Hoàn thành và bắt đầu công việc
BUTTONS.SEND,Send,전송,Gửi
BUTTONS.CONFIRM,Confirm,확인,Xác nhận
BUTTONS.FIND_NEWDRIVER,Find new driver,새로운 배송기사 찾기,Tìm tài xế mới
BUTTONS.FIND_NEWTRUCK,Find new truck,새로운 트럭 찾기,Tìm xe mới
BUTTONS.ADD_NEWCUSTOMER,Create new customer,새로운 고객 생성,Tạo khách hàng mới
BUTTONS.ADD_NEWDRIVER,Add new driver,배송기사 추가,Tạo tài xế mới
BUTTONS.CHOOSE_IMAGE,Choose an image,이미지 선택,Chọn hình
BUTTONS.ADD_NEWTRUCKOWNER,Add new truck owner,트럭 사업자 추가,Thêm mới chủ xe
BUTTONS.ADD_NEWADMIN,Add new admin account,관리자 계정 추가,Thêm mới tài khoản quản trị
BUTTONS.ADD_NEWORDER,Create new order,주문 생성,Tạo mới đơn hàng
BUTTONS.ACCEPT,Accept,승인,Chấp nhận đơn hàng
BUTTONS.LOAD_MORE,Load more,더 보기,Xem thêm
BUTTONS.LOAD,Load,더 보기,Tải
BUTTONS.EDIT_DRIVERTRUCK,Edit Truck & Driver,트럭 & 배송기사 변경,Chỉnh sửa xe và tài xế
BUTTONS.RESTORE,Restore Users,사용자 복원,Khôi phục lại tài khoản đã xóa
BUTTONS.YES,Yes,예,Có
BUTTONS.NO,No,아니오,Không
BUTTONS.SECRET_CODE,Show pickup/deliver code,픽업/배송 코드 보기,Xem mã giao/nhận hàng
BUTTONS.SEND_SMS_MANUAL,Send SMS Manual,문자 보내기,Gửi tin nhắn thủ công
BUTTONS.SEND_MESSAGE,Send,전송,Gửi
BUTTONS.CHOOSE_MULTIPLE,Choose documents (maximum 3 files),문서 선택 (최대 3개 파일),Chọn tài liệu (tối đa 3 tập tin)
BUTTONS.RESET_FILTER,Clear all filters,모든 필터 지우기,Xóa tất cả các bộ lọc
PLACEHOLDER.EMAIL,,,
PLACEHOLDER.PASSWORD,,,
PLACEHOLDER.CONFIRM_PASSWORD,,,
PLACEHOLDER.PHONE,Ex: 09xxxxxxxx,예: 09xxxxxxxx,Ví dụ: 0xxxxxxxxx
PLACEHOLDER.FIRST_NAME,,,
PLACEHOLDER.LAST_NAME,,,
PLACEHOLDER.VERIFIED_STATUS,,,
PLACEHOLDER.STATUS,,,
PLACEHOLDER.TYPE,,,
PLACEHOLDER.CLONE_INPUT,Input order's number,주문 번호를 입력하세요.,nhập mã đơn hàng
PLACEHOLDER.TRUCK_LOAD,"2 tons, 5 tons, 8 tons...","2 톤, 5 톤, 8 톤…","2 tấn, 5 tấn, 8 tấn..."
PLACEHOLDER.CARGO_NAME,"rice, clothes, fruits,...","쌀, 옷, 과일,…","gạo, quần áo, trái cây..."
PLACEHOLDER.CARGO_WEIGHT,Input Cargo Weight,"500kg, 5 톤, 10 톤...","500kg, 5kg, 1000kg..."
PLACEHOLDER.PACKAGE_SIZE,Input Package Size,"박스, 500cm x 500cm x 1000cm","hộp, 500cm x 500cm x 1000cm"
PLACEHOLDER.PICKUP_EMPADDRESS,input pick up address,상차지 주소,nhập địa chỉ lấy hàng
PLACEHOLDER.DROPOFF_EMPADDRESS,input drop off address,하차지 주소,nhập địa chỉ giao hàng
PLACEHOLDER.PICKUP_EMPTY,input pick up empty container address,빈 컨테이너 상차지 주소,nhập địa chỉ lấy công rỗng
PLACEHOLDER.DROPOFF_EMPTY,input drop off empty container address,빈 컨테이너 하차지 주소,nhập địa chỉ giao công rỗng
PLACEHOLDER.PRICE_REQUEST,input price,가격을 입력하세요.,nhập giá
PLACEHOLDER.VAT_INFO,input vat info,VAT 정보를 입력하세요.,nhập mã số thuế
PLACEHOLDER.SEARCH,search here,검색,Tìm kiếm
FILTER.SEARCH,Search,검색,Tìm kiếm
FILTER.SEARCHBY,Search by,검색,Tìm kiếm theo
FILTER.EXPORT,Export to,데이터 내보내기,Xuất sang
ORDER.SUMMARY_TITLE_TOP,Order Summary,주문 요약,Thông tin đơn hàng
ORDER.CREATE_TITLE,Order created,주문이 생성되었습니다.,Đơn hàng đã được tạo
ORDER.CREATE_TITLENOTE,Notes: (*) - compulsory fields,참고 : (*) - 필수 항목,Chú ý: (*) - thông tin bắt buộc cần có
ORDER.MANAGE_TITLE,Manage Orders,주문 관리,Quản lý đơn hàng
ORDER.PENDING_TITLE,Pending Order,진행 중인 주문,Đơn hàng của tôi
ORDER.COMPLETED_TITLE,Completed Order,완료된 주문,Đơn hàng đã hoàn thanh
ORDER.SECRET_CODE_TITLE,Secret code,비밀코드,Mã bí mật
ORDER.DELIVERY_CODE_LABEL,Delivery code,배송코드,Mã nhận hàng
ORDER.PICKUP_CODE_LABEL,Pickup code,픽업코드,Mã lấy hàng
ORDER.UPDATED_DATE,Updated date,업데이트일,Ngày cập nhật
ORDER.CREATED_DATE,Created date,생성일,Ngày tạo
ORDER.CREATED_BY,Created by,주문 생성자,Tạo bởi
ORDER.COMPANY,Company,회사,Công ty
ORDER.ID,Order ID,주문 ID,Mã đơn hàng
ORDER.ORDER_PREFERENCE,Order preference,선호하는 주문,Đơn  hàng tham chiếu
ORDER.ORDERTYPE_LABEL,Order Type,주문 유형,Kiểu đơn hàng
ORDER.ORDERTYPE_STANDARD,Standard,스탠다드,Tạo thông thường
ORDER.ORDERTYPE_STANDARDNOTE,Default,기본,Đơn hàng tiêu chuẩn
ORDER.ORDERTYPE_QUICK,Quick,빠른 주문 생성,Tạo nhanh
ORDER.ORDERTYPE_QUICKNOTE,For instant order,즉시 주문,Đơn hàng gấp
ORDER.CLONE,Clone,불러오기,Copy đơn hàng
ORDER.CLONENOTE,From existing order,이전 거래,Từ đơn hàng đã có
ORDER.CLONE_LABEL,,,
ORDER.CLONE_ACTION,Clone,불러오기,Copy đơn hàng
ORDER.ORDER_STATUS,Order status,주문 상태,Trạng thái đơn hàng
ORDER.STATUS_LABEL,Status,상태,Trạng thái
ORDER.STATUS_CREATED,Newly created,새로 생성됨,Khởi tạo
ORDER.STATUS_VERIFIED,Verified,인증 완료,Đã xác thực
ORDER.STATUS_ASSIGNING,Driver searching,기사 검색중,Đang tìm xe
ORDER.STATUS_ASSIGNED,Driver found,기사 검색 완료,Tìm thấy xe
ORDER.STATUS_DISPATCHED,Dispatched,배정 완료,Sắp xếp xe
ORDER.STATUS_PICKING,Picking up,상차 중,Đi lấy hàng
ORDER.STATUS_PICK_ARRIVED,Pick up arrived,상차지 도착,Đợi lấy hàng
ORDER.STATUS_PCODEINPUTED,Pick up code is inputted,상차 코드가 입력되었습니다.,Đã nhập mã lấy hàng
ORDER.STATUS_DELIVERING,Delivering,배송 중,Đi giao hàng
ORDER.STATUS_DCODEINPUTTED,Delivery code is inputted,배송 코드가 입력되었습니다.,Đã nhập mã giao hàng
ORDER.STATUS_DELIVERED,Delivered,배송 완료,Hoàn thành
ORDER.STATUS_CANCELING,Cancelling,취소 중,Đang hủy
ORDER.STATUS_CANCELED,Cancelled,취소 완료,Đã hủy
ORDER.STATUS_CUSTCANCEL,Cancelling,취소 중,Đang hủy
ORDER.ADMIN_STATUS_CUSTCANCEL,Customer Cancelling,고객 취소,Khách Hủy
ORDER.STATUS_DRIVERCANCEL,Driver Cancelling,기사가 취소,Chủ xe hủy
ORDER.CANCELEDBY_LABEL,Canceled by,취소 신청인,Đã hủy bởi
ORDER.CANCELEDBY_CUSTOM,Cancelling,취소 중,Đang hủy
ORDER.CANCELEDBY_DRIVER,Driver cancelling,배송기사가 취소,Chủ xe hủy
ORDER.SERVICETYPE_LABEL,Service Type,유형 선택,Loại xe
ORDER.SERVICETYPE_LABELNOTE,Select type of transportation,배송 유형 선택,Chọn loại xe
ORDER.SERVICETYPE_DEFAULT,Select type of service,서비스 유형 선택,Chọn loại xe
ORDER.SERVICETYPE_TRAILOR,Trailor tractor truck,트레일러,Xe công-te-nơ
ORDER.SERVICETYPE_NORMAL,Normal truck/van,일반 트럭,Xe tải các loại
ORDER.SERVICETYPE_REFNUMBER,Your own reference number,레퍼런스 넘버,Mã tham chiếu đơn hàng
ORDER.REFERENCE_NO,Reference NO,레퍼런스 넘버,Mã tham chiếu
ORDER.SERVICETYPE_REFNUMBERNOTE,Freely to input your customer's order number or your internal reference number for better tracking,"쉬운 배송 조회를 위해 자유롭게 고객 주문 번호를 입력하거나, 자체 레퍼런스 번호를 입력하세요.",Bạn có thể nhập mã vận đơn của khách hàng hoặc bất kì số tham chiếu nào liên quan đến lô hàng để dễ đối soát về sau
ORDER.SERVICETYPE_REFNOTE_LABEL,Other reference note,기타 참고 사항,Ghi chú tham chiếu khác
ORDER.SERVICETYPE_REFNOTE,"Hashtag, categories... this information will be included when you export to excel/csv files","해시태그, 카테고리... 이 정보는 엑셀/csv 파일로 내보낼 때 포함됩니다","Hashtag, loại, ... những thông tin này sẽ thể hiện khi bạn xuất dữ liệu sang tệp excel/ csv"
ORDER.SHIPMENT_INFO,Shipment info,배송 정보,Thông tin vận chuyển
ORDER.CONTAINERSIZE_LABEL,Container size,컨테이너 크기,Kích cỡ công
ORDER.CONTAINERTYPE_LABEL,Container type,컨테이너 유형,Loại công
ORDER.CONTAINERTYPE_DC,DC (Dry container),DC (드라이 컨테이너),Công khô
ORDER.CONTAINERTYPE_RF,RF (Reefer),RF (냉동차),Công lạnh
ORDER.CONTAINERTYPE_HC,HC (High cube),HC (하이 큐브),Công cao
ORDER.CONTAINERTYPE_HR,HR (High cube reefer),HR (하이 큐브 냉동차),Công lạnh cao
ORDER.CONTAINERTYPE_OT,OT (Open Top),OT (오픈 탑),Công mở
ORDER.CONTAINERTYPE_FR,FR (Flat Rack),FR (플랫 랙),Công mặt phẳng (FR)
ORDER.CONTAINERTYPE_TANK,Tank,탱크 컨테이너,Công bồn
ORDER.CONTAINERQUANTITY,No of containers,컨테이너 수량,Số lượng công
ORDER.PACKAGE_SIZE_1000_1200,Pallet(WxL) 1000 × 1200 (mm),Pallet(WxL) 1000 × 1200 (mm),Pa-lét (WxL) 1000 × 1200 (mm)
ORDER.PACKAGE_SIZE_1100_1100,Pallet(WxL) 1100 × 1100 (mm),Pallet(WxL) 1100 × 1100 (mm),Pa-lét (WxL) 1100 × 1100 (mm)
ORDER.PACKAGE_SIZE_1016_1219,Pallet(WxL) 1016 × 1219 (mm),Pallet(WxL) 1016 × 1219 (mm),Pa-lét (WxL) 1016 × 1219 (mm)
ORDER.PACKAGE_SIZE_1165_1165,Pallet(WxL) 1165 × 1165 (mm),Pallet(WxL) 1165 × 1165 (mm),Pa-lét (WxL) 1165 × 1165 (mm)
ORDER.PACKAGE_SIZE_1067_1067,Pallet(WxL) 1067 × 1067 (mm),Pallet(WxL) 1067 × 1067 (mm),Pa-lét (WxL) 1067 × 1067 (mm)
ORDER.PACKAGE_SIZE_800_1200,Pallet(WxL) 800 × 1200 (mm),Pallet(WxL) 800 × 1200 (mm),Pa-lét (WxL) 800 × 1200 (mm)
ORDER.PACKAGE_SIZE_OTHER,Others,기타,Khác
ORDER.TRUCKTYPE_LABEL,Truck type,트럭 유형,Loại xe tải
ORDER.TRUCKTYPE_NORMAL,Normal,보통,Xe thường
ORDER.TRUCKTYPE_FREEZING,Freezing,냉동 트럭,Xe đông lạnh
ORDER.TRUCK_LOAD,Truck payload,트럭 톤수,Tải trọng xe
ORDER.TRUCK_QUANTITY,No of trucks,트럭 수량,Số lượng xe
ORDER.CARGO_INFO,Cargo Info,화물 정보,Thông tin hàng hóa
ORDER.CARGOTYPE_LABEL,Cargo Type,화물 유형,Loại hàng hóa
ORDER.CARGOTYPE_STANDARD,Standard,표준,Thông thường
ORDER.CARGOTYPE_DANGEROUS,Dangerous,위험 화물,Nguy hiểm
ORDER.CARGOTYPE_SPECIAL,Special,특수 화물,Đặc biệt
ORDER.CARGO_NAME,Cargo Description,화물 상세,Mô tả hàng hóa
ORDER.CARGO_WEIGHT,Cargo Weight,화물 무게,Trọng lượng ước tính
ORDER.PACKAGE_SIZE,Package size,포장 유형 & 크기,Quy cách đóng gói
ORDER.ROUTE_INFO,Route info,경로 정보,Thông tin lộ trình
ORDER.PICKUP_ADDRESS,Pick up address,상차지 주소,Địa chỉ lấy hàng
ORDER.PICKUP_CONTACTNO,Pick up contact no,상차지 연락처,ĐT liên hệ lấy hàng
ORDER.PICKUP_TIME,Pick up time,상차 시각,Giờ lấy hàng
ORDER.DROPOFF_ADDRESS,Drop off address,하차지 주소,Địa chỉ giao hàng
ORDER.DROPOFF_CONTACTNO,Drop off contact no,하차지 연락처,ĐT người nhận hàng
ORDER.DROPOFF_CONTACT,Drop off contact,하차지 연락처,Người nhận hàng
ORDER.PICKUP_LOCATION,Pick up Location,픽업 위치,Địa điểm lấy hàng
ORDER.UPLOAD_PHOTOS,Upload photos,이미지 업로드,Tải ảnh
ORDER.DROPOFF_TIME,Drop off time,하차 시각,Giờ nhận hàng
ORDER.PICKUP_EMPCONTAINER,Need to pick up empty container?,빈 컨테이너를 픽업해야 합니까?,Cần đi lấy công rỗng?
ORDER.PICKUP_EMPADDRESS,,,
